weight,sa_mean_f1,sa_std_f1,rs_mean_f1,rs_std_f1,wilcoxon_W,p_value,p_bonferroni,rank_biserial_r,significant
"(1.0,0.0,0.0)",0.09503999999999994,0.006039900661434737,0.08939999999999997,0.004162451200915154,9.0,0.064453125,0.322265625,0.6727272727272727,False
"(0.6,0.2,0.2)",0.12521999999999994,0.02799192026281868,0.11039999999999997,0.01023572176253341,12.0,0.130859375,0.654296875,0.5636363636363636,False
"(0.34,0.33,0.33)",0.14253999999999994,0.03121743743486966,0.13384999999999997,0.021478512518328642,27.0,1.0,1.0,-0.01818181818181818,False
"(0.2,0.6,0.2)",0.16900999999999997,0.030336000065928275,0.18471999999999994,0.028209175812136042,19.0,0.431640625,1.0,-0.3090909090909091,False
"(0.2,0.2,0.6)",0.14121999999999998,0.03003477318043204,0.13322999999999993,0.019633698072446776,22.0,0.625,1.0,0.2,False
