arch,params,mflops,val_acc,energy_kwh,co2_kg,energy_wh,co2_g
3blk [8x3pl-8x3pl-8x3pl] d32 lr1e-02,1914,0.41,0.8368,0.0007207727849143189,7.088656185075345e-05,0.7208,0.0709
4blk [8x3pl-8x3pr-16x3pl-16x3pr] d32 lr1e-02,5122,0.51,0.8778,0.0007111850861919937,6.99436308568102e-05,0.7112,0.0699
4blk [8x3pl-64x3pr-8x5pl-8x5pr] d128 lr1e-02,21786,3.25,0.8989,0.0011140977597325107,0.00010956928647417296,1.1141,0.1096
4blk [64x3pl-64x3pl-32x3pl-32x3pl] d64 lr1e-02,68426,17.46,0.9111,0.0027632508296608843,0.00027176019259548867,2.7633,0.2718
4blk [64x3pr-64x3pl-64x5pr-64x5pl] d64 lr1e-02,247818,27.38,0.9133,0.00338171357749624,0.0003325847669196002,3.3817,0.3326
