seed,w1,w2,w3,iter,temperature,fitness,f1,f2,f3
0,1.0,0.0,0.0,1,0.98,0.14539999999999997,0.14539999999999997,19722.0,3316394.0
0,1.0,0.0,0.0,2,0.9603999999999999,0.1199,0.1199,40202.0,4319914.0
0,1.0,0.0,0.0,3,0.9411919999999999,0.133,0.133,40202.0,4412714.0
0,1.0,0.0,0.0,4,0.9223681599999999,0.23609999999999998,0.23609999999999998,37850.0,4299002.0
0,1.0,0.0,0.0,5,0.9039207967999998,0.21960000000000002,0.21960000000000002,24770.0,3683426.0
0,1.0,0.0,0.0,6,0.8858423808639998,0.2673,0.2673,24770.0,5528570.0
0,1.0,0.0,0.0,7,0.8681255332467198,0.27159999999999995,0.27159999999999995,24770.0,18346970.0
0,1.0,0.0,0.0,8,0.8507630225817854,0.3046,0.3046,24770.0,18346970.0
0,1.0,0.0,0.0,9,0.8337477621301497,0.3173,0.3173,13842.0,9804474.0
0,1.0,0.0,0.0,10,0.8170728068875467,0.3063,0.3063,13842.0,9804474.0
0,1.0,0.0,0.0,11,0.8007313507497957,0.3063,0.3063,13842.0,9804474.0
0,1.0,0.0,0.0,12,0.7847167237347998,0.3529,0.3529,10770.0,7396026.0
0,1.0,0.0,0.0,13,0.7690223892601038,0.2531,0.2531,10770.0,7396026.0
0,1.0,0.0,0.0,14,0.7536419414749017,0.351,0.351,10770.0,7396026.0
0,1.0,0.0,0.0,15,0.7385691026454037,0.24170000000000003,0.24170000000000003,10770.0,7396026.0
0,1.0,0.0,0.0,16,0.7237977205924956,0.1814,0.1814,13842.0,9804474.0
0,1.0,0.0,0.0,17,0.7093217661806457,0.28900000000000003,0.28900000000000003,24770.0,18346970.0
0,1.0,0.0,0.0,18,0.6951353308570327,0.24319999999999997,0.24319999999999997,24770.0,18346970.0
0,1.0,0.0,0.0,19,0.6812326242398921,0.1986,0.1986,14530.0,10318810.0
0,1.0,0.0,0.0,20,0.6676079717550942,0.19110000000000005,0.19110000000000005,14530.0,10318810.0
0,1.0,0.0,0.0,21,0.6542558123199923,0.22919999999999996,0.22919999999999996,14530.0,10318810.0
0,1.0,0.0,0.0,22,0.6411706960735924,0.2178,0.2178,15746.0,10320026.0
0,1.0,0.0,0.0,23,0.6283472821521205,0.24009999999999998,0.24009999999999998,25986.0,18348186.0
0,1.0,0.0,0.0,24,0.6157803365090782,0.20899999999999996,0.20899999999999996,25986.0,18348186.0
0,1.0,0.0,0.0,25,0.6034647297788965,0.21919999999999995,0.21919999999999995,25986.0,18348186.0
0,1.0,0.0,0.0,26,0.5913954351833186,0.15590000000000004,0.15590000000000004,25986.0,18348186.0
0,1.0,0.0,0.0,27,0.5795675264796523,0.21840000000000004,0.21840000000000004,25986.0,18348186.0
0,1.0,0.0,0.0,28,0.5679761759500592,0.22109999999999996,0.22109999999999996,15746.0,10320026.0
0,1.0,0.0,0.0,29,0.5566166524310581,0.2653,0.2653,15746.0,10320026.0
0,1.0,0.0,0.0,30,0.5454843193824369,0.1753,0.1753,10306.0,6080122.0
0,1.0,0.0,0.0,31,0.5345746329947881,0.21830000000000005,0.21830000000000005,10306.0,6080122.0
0,1.0,0.0,0.0,32,0.5238831403348924,0.23060000000000003,0.23060000000000003,10306.0,6080122.0
0,1.0,0.0,0.0,33,0.5134054775281945,0.25880000000000003,0.25880000000000003,9090.0,6078906.0
0,1.0,0.0,0.0,34,0.5031373679776306,0.14949999999999997,0.14949999999999997,29570.0,22135226.0
0,1.0,0.0,0.0,35,0.493074620618078,0.12680000000000002,0.12680000000000002,29570.0,6005210.0
0,1.0,0.0,0.0,36,0.48321312820571644,0.19079999999999997,0.19079999999999997,30786.0,6006426.0
0,1.0,0.0,0.0,37,0.4735488656416021,0.2217,0.2217,30786.0,6006426.0
0,1.0,0.0,0.0,38,0.46407788832877006,0.18669999999999998,0.18669999999999998,108546.0,22639866.0
0,1.0,0.0,0.0,39,0.45479633056219465,0.12560000000000004,0.12560000000000004,132010.0,25819210.0
0,1.0,0.0,0.0,40,0.44570040395095073,0.1825,0.1825,54250.0,9185770.0
0,1.0,0.0,0.0,41,0.4367863958719317,0.11870000000000003,0.11870000000000003,54250.0,9185770.0
0,1.0,0.0,0.0,42,0.42805066795449304,0.23240000000000005,0.23240000000000005,54250.0,9185770.0
0,1.0,0.0,0.0,43,0.41948965459540316,0.16100000000000003,0.16100000000000003,54250.0,9185770.0
0,1.0,0.0,0.0,44,0.4110998615034951,0.11909999999999998,0.11909999999999998,54250.0,9185770.0
0,1.0,0.0,0.0,45,0.4028778642734252,0.17830000000000001,0.17830000000000001,136170.0,25242090.0
0,1.0,0.0,0.0,46,0.39482030698795667,0.1432,0.1432,261706.0,49834666.0
0,1.0,0.0,0.0,47,0.38692390084819756,0.1402,0.1402,261706.0,49834666.0
0,1.0,0.0,0.0,48,0.3791854228312336,0.1199,0.1199,261706.0,49834666.0
0,1.0,0.0,0.0,49,0.37160171437460887,0.12849999999999995,0.12849999999999995,261706.0,49834666.0
0,1.0,0.0,0.0,50,0.3641696800871167,0.15610000000000002,0.15610000000000002,261706.0,197427370.0
0,1.0,0.0,0.0,51,0.35688628648537435,0.136,0.136,237130.0,178159786.0
0,1.0,0.0,0.0,52,0.34974856075566685,0.1563,0.1563,237130.0,178159786.0
0,1.0,0.0,0.0,53,0.3427535895405535,0.13339999999999996,0.13339999999999996,237130.0,178159786.0
0,1.0,0.0,0.0,54,0.33589851774974244,0.13049999999999995,0.13049999999999995,237130.0,178159786.0
0,1.0,0.0,0.0,55,0.3291805473947476,0.14229999999999998,0.14229999999999998,237130.0,178159786.0
